sample,cohort,baselinePivotWeeks,baselineExternalLoadChangePct,baselineWeek52NormalSets,refinedPivotWeeks,refinedExternalLoadChangePct,refinedWeek52NormalSets
original,novice,1.0,40.509299999999996,121.0,1.0,40.55935,121.0
original,intermediate,1.0,11.79405,121.0,1.0,11.79405,121.0
original,experienced,1.0,1.40675,121.0,1.0,1.40675,121.0
original,slow-response,1.0,-4.2813,121.0,1.0,-4.2813,121.0
original,poor-sleep,27.0,2.1167499999999997,121.0,25.0,5.82175,82.0
original,missed-sessions,1.0,9.48355,121.0,1.0,9.48355,121.0
original,long-break,1.0,10.01215,121.0,1.0,10.01215,121.0
original,coarse-equipment,1.0,2.35055,121.0,1.0,2.35055,121.0
original,noisy-RIR,1.0,14.798449999999999,121.0,1.0,14.798449999999999,121.0
original,conservative-effort,1.0,-0.34365,121.0,1.0,-0.34365,121.0
original,pain-episodes,4.0,10.87235,121.0,3.0,11.8642,114.0
original,custom-three-day,1.0,18.60635,67.0,1.0,18.60635,67.0
held-out,novice,1.0,44.239000000000004,121.0,1.0,44.239000000000004,121.0
held-out,intermediate,1.0,10.081299999999999,121.0,1.0,10.081299999999999,121.0
held-out,experienced,1.0,2.13905,121.0,1.0,2.2172,121.0
held-out,slow-response,1.0,-2.82265,121.0,1.0,-2.82265,121.0
held-out,poor-sleep,26.0,4.23585,121.0,23.5,7.6605,82.0
held-out,missed-sessions,1.0,10.1877,121.0,1.0,10.1877,121.0
held-out,long-break,1.0,9.3514,121.0,1.0,9.3514,121.0
held-out,coarse-equipment,1.0,1.61185,121.0,0.5,1.61185,121.0
held-out,noisy-RIR,1.0,13.64075,121.0,1.0,13.64075,121.0
held-out,conservative-effort,1.0,-0.23295,121.0,1.0,-0.2263,121.0
held-out,pain-episodes,4.0,14.28575,121.0,2.0,15.61005,109.0
held-out,custom-three-day,1.0,18.66155,67.0,0.5,18.66155,67.0
