noise,scenario,person,eligibleWeeks,oldFlags,newFlags,oldFirst,newFirst
0,stationary,0,48,0,0,,
0,stationary,1,48,0,0,,
0,stationary,2,48,0,0,,
0,stationary,3,48,0,0,,
0,stationary,4,48,0,0,,
0,stationary,5,48,0,0,,
0,stationary,6,48,0,0,,
0,stationary,7,48,0,0,,
0,stationary,8,48,0,0,,
0,stationary,9,48,0,0,,
0,stationary,10,48,0,0,,
0,stationary,11,48,0,0,,
0,stationary,12,48,0,0,,
0,stationary,13,48,0,0,,
0,stationary,14,48,0,0,,
0,stationary,15,48,0,0,,
0,stationary,16,48,0,0,,
0,stationary,17,48,0,0,,
0,stationary,18,48,0,0,,
0,stationary,19,48,0,0,,
0,stationary,20,48,0,0,,
0,stationary,21,48,0,0,,
0,stationary,22,48,0,0,,
0,stationary,23,48,0,0,,
0,stationary,24,48,0,0,,
0,stationary,25,48,0,0,,
0,stationary,26,48,0,0,,
0,stationary,27,48,0,0,,
0,stationary,28,48,0,0,,
0,stationary,29,48,0,0,,
0,stationary,30,48,0,0,,
0,stationary,31,48,0,0,,
0,stationary,32,48,0,0,,
0,stationary,33,48,0,0,,
0,stationary,34,48,0,0,,
0,stationary,35,48,0,0,,
0,stationary,36,48,0,0,,
0,stationary,37,48,0,0,,
0,stationary,38,48,0,0,,
0,stationary,39,48,0,0,,
0,abrupt,0,48,1,1,10,11
0,abrupt,1,48,1,1,10,11
0,abrupt,2,48,1,1,10,11
0,abrupt,3,48,1,1,10,11
0,abrupt,4,48,1,1,10,11
0,abrupt,5,48,1,1,10,11
0,abrupt,6,48,1,1,10,11
0,abrupt,7,48,1,1,10,11
0,abrupt,8,48,1,1,10,11
0,abrupt,9,48,1,1,10,11
0,abrupt,10,48,1,1,10,11
0,abrupt,11,48,1,1,10,11
0,abrupt,12,48,1,1,10,11
0,abrupt,13,48,1,1,10,11
0,abrupt,14,48,1,1,10,11
0,abrupt,15,48,1,1,10,11
0,abrupt,16,48,1,1,10,11
0,abrupt,17,48,1,1,10,11
0,abrupt,18,48,1,1,10,11
0,abrupt,19,48,1,1,10,11
0,abrupt,20,48,1,1,10,11
0,abrupt,21,48,1,1,10,11
0,abrupt,22,48,1,1,10,11
0,abrupt,23,48,1,1,10,11
0,abrupt,24,48,1,1,10,11
0,abrupt,25,48,1,1,10,11
0,abrupt,26,48,1,1,10,11
0,abrupt,27,48,1,1,10,11
0,abrupt,28,48,1,1,10,11
0,abrupt,29,48,1,1,10,11
0,abrupt,30,48,1,1,10,11
0,abrupt,31,48,1,1,10,11
0,abrupt,32,48,1,1,10,11
0,abrupt,33,48,1,1,10,11
0,abrupt,34,48,1,1,10,11
0,abrupt,35,48,1,1,10,11
0,abrupt,36,48,1,1,10,11
0,abrupt,37,48,1,1,10,11
0,abrupt,38,48,1,1,10,11
0,abrupt,39,48,1,1,10,11
