person,cohort,seed,days,algorithm,randomStreams,calibratedBodyweight,bodyweightTransitions,recoveryReductions,recoveryRestorations,recoveryMinimums,unit,bodyMass,gainCeilingPct,adherence,trained,missed,checks,pivots,increases,decreases,holds,roundingHolds,effortHolds,bodyweightHolds,partialAnchors,measuredFlags,falsePerformanceFlags,anchorCount,overCap,underFloor,loadChangePct,latentCapacityGainPct,cycles,sample
0,novice,520260000,365,baseline,independent-v2,True,0,0,0,0,kg,92.1445,65.112,0.9813,254,7,51,5,395,14,1369,76,432,0,16,35,0,1762,0,139,41.5874,54.7626,1,original
0,novice,520260000,365,refined,independent-v2,True,0,0,0,0,kg,92.1445,65.112,0.9813,254,7,51,5,370,15,1393,76,431,0,16,0,0,1762,0,139,41.5874,54.7638,1,original
1,novice,520260001,365,baseline,independent-v2,True,0,0,0,0,lb,93.8449,54.4796,0.9751,250,11,48,5,360,55,1332,37,432,48,14,28,0,1733,29,132,27.2333,41.6106,1,original
1,novice,520260001,365,refined,independent-v2,True,2,0,0,0,lb,93.8449,54.4796,0.9751,250,11,48,0,374,58,1315,41,440,0,14,0,0,1733,0,132,27.1446,41.736,1,original
2,novice,520260002,365,baseline,independent-v2,True,0,0,0,0,kg,98.4247,83.8337,0.9793,253,8,51,4,613,31,1129,4,393,72,11,25,0,1762,80,52,58.3976,75.0318,1,original
2,novice,520260002,365,refined,independent-v2,True,2,0,0,0,kg,98.4247,83.8337,0.9793,253,8,51,4,644,32,1097,4,389,0,11,0,0,1762,0,54,58.3976,75.0351,1,original
3,novice,520260003,365,baseline,independent-v2,True,0,0,0,0,lb,55.2705,69.5577,0.9247,242,19,49,4,504,40,1149,10,405,0,12,27,0,1681,0,86,46.3476,61.7665,1,original
3,novice,520260003,365,refined,independent-v2,True,0,0,0,0,lb,55.2705,69.5577,0.9247,242,19,49,4,475,39,1179,74,407,0,12,0,0,1681,64,83,46.3476,61.7628,1,original
4,novice,520260004,365,baseline,independent-v2,True,0,0,0,0,kg,72.5495,78.8691,0.9623,249,12,46,5,512,41,1190,13,430,60,15,30,0,1728,59,93,43.4401,59.4924,1,original
4,novice,520260004,365,refined,independent-v2,True,2,0,0,0,kg,72.5495,78.8691,0.9623,249,12,46,5,540,42,1161,14,431,0,15,0,0,1728,0,101,43.4401,59.4864,1,original
5,novice,520260005,365,baseline,independent-v2,True,0,0,0,0,lb,99.135,63.5628,0.9057,235,26,50,5,479,31,1138,18,402,58,8,24,0,1640,48,77,39.4312,54.1486,1,original
5,novice,520260005,365,refined,independent-v2,True,2,0,0,0,lb,99.135,63.5628,0.9057,235,26,50,0,500,33,1115,21,406,0,8,0,0,1640,0,81,39.5313,54.2761,1,original
6,novice,520260006,365,baseline,independent-v2,True,0,0,0,0,kg,58.9675,63.4836,0.91,233,28,51,0,536,25,1069,26,397,0,15,24,0,1615,3,84,42.5361,55.5856,1,original
6,novice,520260006,365,refined,independent-v2,True,0,0,0,0,kg,58.9675,63.4836,0.91,233,28,51,0,502,25,1103,81,399,0,15,0,0,1615,62,83,42.5361,55.581,1,original
7,novice,520260007,365,baseline,independent-v2,True,0,0,0,0,lb,90.7722,58.5466,0.9587,251,10,50,5,440,45,1269,6,402,52,12,30,0,1742,49,75,36.0157,50.7032,1,original
7,novice,520260007,365,refined,independent-v2,True,2,0,0,0,lb,90.7722,58.5466,0.9587,251,10,50,5,457,47,1250,7,402,0,12,0,0,1742,6,80,36.0157,50.7051,1,original
