id,title,authors,year,doi,url,claim,limitations,evidenceType,verifiedOn
volume,The Resistance Training Dose Response: Meta-Regressions Exploring the Effects of Weekly Volume and Frequency on Muscle Hypertrophy and Strength Gains,"Pelland JC, Remmert JF, Robinson ZP, Hinson SR, Zourdos MC.",2026,10.1007/s40279-025-02344-w,https://pubmed.ncbi.nlm.nih.gov/41343037/,Direct versus indirect set accounting was compared in meta-regressions; half-credit indirect sets fit best.,Does not validate quarter credit or any exercise-specific coefficient.,meta-analysis,2026-09-18
emg,Interpreting Signal Amplitudes in Surface Electromyography Studies in Sport and Rehabilitation Sciences,"Vigotsky AD, Halperin I, Lehman GJ, Trajano GS, Vieira TM.",2017,10.3389/fphys.2017.00985,https://pubmed.ncbi.nlm.nih.gov/29354060/,Surface EMG amplitude has important limitations as a proxy for force sharing and hypertrophy.,Not a conversion formula from activation to set credit.,methodological review,2026-09-18
press,Low-load bench press and push-up induce similar muscle hypertrophy and strength gain,"Kikuchi N, Nakazato K.",2017,10.1016/j.jesf.2017.06.003,https://pubmed.ncbi.nlm.nih.gov/29541130/,Bench press and appropriately loaded push-ups increased pectoral and triceps thickness over eight weeks.,Small sample of young men; no exact synergist set equivalence.,longitudinal,2026-09-18
incline,Effects of Horizontal and Incline Bench Press on Neuromuscular Adaptations in Untrained Young Men,"Chaves SFN, Rocha-JÚnior VA, EncarnaÇÃo IGA, Martins-Costa HC, Freitas EDS, Coelho DB, Franco FSC, Loenneke JP, Bottaro M, Ferreira-JÚnior JB.",2020,10.70252/fdnb1158,https://pubmed.ncbi.nlm.nih.gov/32922646/,Incline and horizontal bench pressing produced some regional differences in pectoral growth.,"Supports distinguishing bench angles, not separate regional muscle IDs or exact fractions.",longitudinal,2026-09-18
squat,Effects of squat training with different depths on lower limb muscle volumes,"Kubo K, Ikebukuro T, Yata H.",2019,10.1007/s00421-019-04181-y,https://pubmed.ncbi.nlm.nih.gov/31230110/,Squat depth affected gluteal/adductor growth; knee extensors grew but hamstrings did not significantly grow.,"Study of barbell squats; leg press, hack squat and lunge application is an inference.",longitudinal,2026-09-18
hip-thrust,Hip thrust and back squat training elicit similar gluteus muscle hypertrophy and transfer similarly to the deadlift,"Plotkin DL, Rodas MA, Vigotsky AD, McIntosh MC, Breeze E, Ubrik R, Robitzsch C, Agyin-Birikorang A, Mattingly ML, Michel JM, Kontos NJ, Lennon S, Frugé AD, Wilburn CM, Weimar WH, Bashir A, Beyers RJ, Henselmans M, Contreras BM, Roberts MD.",2023,10.3389/fphys.2023.1279170,https://pubmed.ncbi.nlm.nih.gov/37877099/,Squats and hip thrusts increased gluteal size; thigh growth favored squats; hamstrings and glute med/min changed little.,Untrained participants; not all machine designs or techniques.,longitudinal,2026-09-18
triceps,Triceps brachii hypertrophy is substantially greater after elbow extension training performed in the overhead versus neutral arm position,"Maeo S, Wu Y, Huang M, Sakurai H, Kusagawa Y, Sugiyama T, Kanehisa H, Isaka T.",2023,10.1080/17461391.2022.2100279,https://pubmed.ncbi.nlm.nih.gov/35819335/,Overhead cable elbow extension produced greater triceps growth than neutral-arm extension.,Both train triceps; no numerical set multiplier is established.,longitudinal,2026-09-18
lateral,Dumbbell versus cable lateral raises for lateral deltoid hypertrophy: an experimental study,"Larsen S, Wolf M, Schoenfeld BJ, Sandberg NØ, Fredriksen AB, Kristiansen BS, van den Tillaar R, Swinton PA, Falch HN.",2025,10.3389/fphys.2025.1611468,https://pubmed.ncbi.nlm.nih.gov/40692697/,Dumbbell and cable lateral raises increased lateral deltoid thickness with similar observed changes.,Matched ROM; does not establish identical results for every cable height or machine.,longitudinal,2026-09-18
pull,Single vs. Multi-Joint Resistance Exercises: Effects on Muscle Strength and Hypertrophy,"Gentil P, Soares S, Bottaro M.",2015,10.5812/asjsm.24057,https://pubmed.ncbi.nlm.nih.gov/26446291/,Lat pulldowns and curls both increased elbow-flexor thickness in untrained men.,Conflicting comparative literature and muscle measurement limitations prevent exact fractions.,longitudinal,2026-09-18
elbow,Variation of muscle moment arms with elbow and forearm position,"Murray WM, Delp SL, Buchanan TS.",1995,10.1016/0021-9290(94)00114-j,https://pubmed.ncbi.nlm.nih.gov/7775488/,"Elbow and forearm positions alter elbow-flexor moment arms, including the biceps supination advantage.",Cadaver/model biomechanics; not hypertrophy or 0.25/0.5/1 calibration.,biomechanics,2026-09-18
neck,Specificity of resistance training responses in neck muscle size and strength,"Conley MS, Stone MH, Nimmons M, Dudley GA.",1997,10.1007/s004210050186,https://pubmed.ncbi.nlm.nih.gov/9189733/,Specific head-extension training induced cervical hypertrophy beyond conventional resistance training.,Evidence for extension does not establish flexion/lateral-flexion effects or set equivalence.,longitudinal,2026-09-18
olympic,Weightlifting pulling derivatives: rationale for implementation and application,"Suchomel TJ, Comfort P, Stone MH.",2015,10.1007/s40279-015-0314-y,https://pubmed.ncbi.nlm.nih.gov/25689955/,"Weightlifting pulls and their derivatives use coordinated hip, knee and ankle extension; catches distinguish full lifts.",Power/technique review; hypertrophy-equivalent set accounting is especially uncertain.,professional review,2026-09-18
lumbar,A review of the specificity of exercises designed for conditioning the lumbar extensors,"Steele J, Bruce-Low S, Smith D.",2015,10.1136/bjsports-2013-092197,https://pubmed.ncbi.nlm.nih.gov/24092889/,Lumbar extensor adaptations depend on whether exercise loads spinal extension specifically or permits hip motion.,Review emphasizes specificity; exact hypertrophy set equivalents remain unknown.,review,2026-09-18
lumbar-counter,Development of lumbar extension strength: Effect of pelvic stabilization during resistance training,"Mayer JM, Graves JE, Udermann BE, Ploutz-Snyder LL.",2002,10.3233/bmr-2002-16105,https://pubmed.ncbi.nlm.nih.gov/22387361/,Lumbar extension strength increased with and without pelvic stabilization when training/testing used the same device.,Strength is not hypertrophy; counters a universal claim that restraint is always necessary.,longitudinal,2026-09-18
glute-review,The impact of resistance training on gluteus maximus hypertrophy: a systematic review and meta-analysis,"Krause Neto W, Krause TLV, Gama EF.",2025,10.3389/fphys.2025.1542334,https://pubmed.ncbi.nlm.nih.gov/40276368/,"Resistance training including hip thrusts, squats and some other hip extension exercises increases glute max size.",Heterogeneous protocols do not establish an allocation table for each variation.,systematic review,2026-09-18
adduction,Perceived loading and muscle activity during hip strengthening exercises: comparison of elastic resistance and machine exercises,"Brandt M, Jakobsen MD, Thorborg K, Sundstrup E, Jay K, Andersen LL.",2013,,https://pubmed.ncbi.nlm.nih.gov/24377067/,Hip abduction/adduction with bands and machines can be performed with comparable perceived loading; EMG was measured.,"Used for exercise identification and feasibility only, not precise credits or growth.",EMG / feasibility,2026-09-18
core-emg,Core Muscle Activity During Physical Fitness Exercises: A Systematic Review,"Oliva-Lozano JM, Muyor JM.",2020,10.3390/ijerph17124306,https://pubmed.ncbi.nlm.nih.gov/32560185/,"Core exercise studies measure activity in rectus abdominis, obliques and spinal muscles.",EMG-only synthesis; cannot rank hypertrophy or assign exact set fractions.,EMG review,2026-09-18
calf,Triceps surae muscle hypertrophy is greater after standing versus seated calf-raise training,"Kinoshita M, Maeo S, Kobayashi Y, Eihara Y, Ono M, Sato M, Sugiyama T, Kanehisa H, Isaka T.",2023,10.3389/fphys.2023.1272106,https://pubmed.ncbi.nlm.nih.gov/38156065/,Standing calf raises grew gastrocnemius more than seated raises; soleus grew similarly in both positions.,Does not establish that standing soleus sets should count half; this remains source calibration.,longitudinal,2026-09-18
wrist,Wrist Resistance Training Improves Motor Control and Strength,"Chu E, Kim YS, Hill G, Kim YH, Kim CK, Shim JK.",2018,10.1519/jsc.0000000000002019,https://pubmed.ncbi.nlm.nih.gov/28759532/,Direction-specific wrist resistance training improved wrist strength and motor control.,Strength outcomes do not establish hypertrophy equivalence or exact wrist exercise credits.,longitudinal,2026-09-18
ham-curl,Greater Hamstrings Muscle Hypertrophy but Similar Damage Protection after Training at Long versus Short Muscle Lengths,"Maeo S, Huang M, Wu Y, Sakurai H, Kusagawa Y, Sugiyama T, Kanehisa H, Isaka T.",2021,10.1249/mss.0000000000002523,https://pubmed.ncbi.nlm.nih.gov/33009197/,"Seated and prone leg curls increased hamstring size, with greater biarticular growth in the seated condition.",Does not establish exact per-set credit or equivalence across all leg curl devices.,longitudinal,2026-09-18
curl-position,Comparison Between Shoulder Flexed and Extended Positions in Elbow Flexion Resistance Training on Regional Hypertrophy and Maximum Strength: Preacher versus Bayesian Cable Curls,"Attarieh P, Nunes JP, Khani S, Negahdar S, Goli A, Nazarirad H, Nazarirad S, Mojtahedi S, Nosaka K, Soori R.",2025,10.1002/ejsc.12279,https://pubmed.ncbi.nlm.nih.gov/40082069/,Preacher and Bayesian cable curls with matched resistance profiles increased biceps and brachialis thickness without a significant between-condition difference.,Small ten-week trial in young men; does not establish a precise 1-to-0.5 allocation or universal superiority of either shoulder position.,longitudinal,2026-09-18
anatomy-upper,Anatomy and Physiology: Muscles Of The Pectoral Girdle And Upper Limbs,"OpenStax, Rice University",2013,,https://openstax.org/books/anatomy-and-physiology/pages/11-5-muscles-of-the-pectoral-girdle-and-upper-limbs,Upper-limb and scapular muscles have different joint actions; wrist actions differ from elbow flexion.,"Anatomical actions support classification; all numerical set credits are editorial inference, not measured by this textbook.",anatomy textbook,2026-09-18
anatomy-lower,Anatomy and Physiology: Appendicular Muscles Of The Pelvic Girdle And Lower Limbs,"OpenStax, Rice University",2013,,https://openstax.org/books/anatomy-and-physiology/pages/11-6-appendicular-muscles-of-the-pelvic-girdle-and-lower-limbs,"Hip, knee and ankle muscles differ in their primary joint actions and biarticular geometry.","Anatomical actions support classification; all numerical set credits are editorial inference, not measured by this textbook.",anatomy textbook,2026-09-18
anatomy-trunk,Anatomy and Physiology: Axial Muscles Of The Abdominal Wall And Thorax,"OpenStax, Rice University",2013,,https://openstax.org/books/anatomy-and-physiology/pages/11-4-axial-muscles-of-the-abdominal-wall-and-thorax,Rectus abdominis flexes the trunk; obliques participate in rotation and lateral flexion.,"Anatomical actions support classification; all numerical set credits are editorial inference, not measured by this textbook.",anatomy textbook,2026-09-18
anatomy-neck,Anatomy and Physiology: Axial Muscles Of The Head Neck And Back,"OpenStax, Rice University",2013,,https://openstax.org/books/anatomy-and-physiology/pages/11-3-axial-muscles-of-the-head-neck-and-back,"Neck flexion, extension and lateral flexion involve distinct muscles; spinal extensors extend the vertebral column.","Anatomical actions support classification; all numerical set credits are editorial inference, not measured by this textbook.",anatomy textbook,2026-09-18
pandr-sheet,PANDR-5™ Model — Guide Sheet,PANDR-5 model owner,2026,,https://docs.google.com/spreadsheets/d/1o7sQkxG_r72CH2Dv7CJDyqhSzbeBVhoKN6BVWNjcGjk/edit,Guide Sheet J5:K23 encodes the preserved 26-exercise calibration catalog and 1/0.5/0.25 credits.,"Owner model, not independent scientific validation; live formulas verified with Google Sheets connector on 2026-09-18.",model calibration,2026-09-18
