person,cohort,seed,days,unit,bodyMass,gainCeilingPct,adherence,trained,missed,checks,pivots,increases,decreases,holds,roundingHolds,effortHolds,bodyweightHolds,partialAnchors,measuredFlags,falsePerformanceFlags,anchorCount,overCap,underFloor,loadChangePct,latentCapacityGainPct,cycles,accountId,backupSha256,backupBytes,csvBytes
0,novice,520260000,365,kg,92.1445,65.112,0.9813,251,10,49,0,407,26,1323,118,425,0,7,31,0,1749,0,211,40.8688,54.5278,1,7422d907-a789-48a9-99cc-ed9013144e29,e71674c8f6ffb4f638304ceb5ebc3a128ee3bba15f3ddb554665feb0fb1b7354,2720236,9645289
1,novice,520260001,365,lb,93.8449,54.4796,0.9751,250,11,48,5,365,57,1326,38,423,53,11,29,0,1737,30,139,27.5027,41.6552,1,55f9f563-3424-4d57-83b4-9a44a673051e,27e97d4128c222e23c0ca52acffdd680762924f579913eff8d601a61e84e5961,2736814,9893684
2,novice,520260002,365,kg,98.4247,83.8337,0.9793,257,4,51,5,611,34,1154,1,415,73,16,28,0,1783,107,65,57.8876,75.2388,1,d25ec549-a2cf-48fd-a14e-ce621252e2c0,1f1e3cd025438ba5b021046d0faed423aa6173cd2c05b36db0b1685f72c507b8,2779816,9880534
3,novice,520260003,365,lb,55.2705,69.5577,0.9247,238,23,51,4,507,44,1116,17,379,0,13,29,0,1654,1,97,46.0797,61.6167,1,6c08d4bd-3277-423e-8159-b4b267a38e92,0b2b12d1e139b20b5d7229b5c87b1478dcf556628e6c8cd21ff61da68204814b,2616596,9468707
4,novice,520260004,365,kg,72.5495,78.8691,0.9623,250,11,50,5,483,25,1244,10,441,63,12,29,0,1740,64,64,42.0558,59.396,1,e5e1f892-fd4b-489f-8aff-06122cea34cb,64a4e05a89968424ace335a0dae47d048b845cc669cfbe9cbe6e7765e783c923,2705018,9582393
5,novice,520260005,365,lb,99.135,63.5628,0.9057,239,22,49,5,488,38,1146,19,398,57,7,27,0,1665,46,96,39.4312,53.8272,1,2e264ebf-293f-49c9-976f-5b9e177b5158,aa8901d268da7f8dbac8c711ce0538629c06a3f82540f33bfa6de72194aa7762,2625236,9504481
6,novice,520260006,365,kg,58.9675,63.4836,0.91,224,37,48,0,533,31,995,20,380,0,8,28,0,1551,1,87,41.4648,54.9869,1,0fb94e41-87b3-43b1-a112-84f876060880,ae566d2ad5c166a59830f21618ecb3012461df3dbda28d16484e94c626b64244,2418552,8592806
7,novice,520260007,365,lb,90.7722,58.5466,0.9587,252,9,51,5,461,56,1245,12,424,52,20,32,0,1742,43,89,37.0105,50.7361,1,6c949110-37a1-4f90-9bb0-5bb3b16ce97d,2d3051567f458e69cde7dc3fbe25ad522156d006bdecd43ab4a752d506f5a714,2761540,9987538
8,novice,520260008,365,kg,75.4808,59.7534,0.9738,255,6,50,5,336,18,1431,87,421,53,17,33,0,1768,41,179,37.7776,51.1167,1,44c2209b-fdad-45c4-9508-676e6b01a5f9,26e89cd457976e31b94ea44caef4abb8387127868fdeade589ec0f4e2a487f2b,2753739,9727798
9,novice,520260009,365,lb,63.9968,65.7132,0.8933,231,30,49,5,488,52,1078,5,377,0,9,25,0,1609,1,76,35.1031,50.5713,1,3dae078c-0de0-400f-a761-73afcc440064,7d028d2baaf27ee2403299ec70a6872a806e47b405809f0297239464c42b22f0,2540578,9191245
10,intermediate,520260010,365,kg,89.7326,31.9267,0.9435,241,20,48,5,270,98,1322,0,385,42,15,33,0,1675,4,153,13.8499,26.226,1,c3f18c1f-a755-4081-9f21-2f39e32fc963,46f0b7e55655f6a73b2cece1a2f5c8024b335bd80745068495e4ed86b773890a,2606004,9207471
11,intermediate,520260011,365,lb,99.6316,33.4905,0.9263,237,24,50,5,237,133,1288,0,403,26,12,37,0,1646,0,218,8.1318,19.9725,1,59d3a461-d27b-443d-a418-ea2c5b4fec55,f3ddf11ac5914bf65f4dbcf7b85a7b0acebf58b67ff818372bcc4b5a5bd0fbe9,2601273,9371607
12,intermediate,520260012,365,kg,75.7352,38.7379,0.9512,242,19,52,0,187,49,1460,182,429,0,13,40,0,1683,0,341,12.9271,23.6907,1,795fba4b-3971-4586-8139-32a5318245cd,d1f147643463e5fbd093d20612d26c5e7f1a54b67b6483d522c813e9da1d52c7,2630822,9296186
