cohort,people,median_sessions,median_working_load_change_pct,minimum_change_pct,maximum_change_pct,median_pivot_weeks,equipment_hold_pct,anchor_below_floor_pct
novice,10,250.0,40.15,27.5027,57.8876,1.0,1.9102698913424465,6.4889987057300855
intermediate,10,244.5,13.120249999999999,3.9211,20.7994,1.0,3.342277181521232,14.404985888993416
experienced,10,248.0,1.9321,-1.601,5.9153,1.0,7.521248108045174,23.41586482046468
slow-response,10,236.5,-4.5,-6.5271,-0.925,1.0,13.801134667064796,36.27226769378912
poor-sleep,10,244.5,2.0416,-3.1452,6.363,25.0,5.334277453236561,46.461758398856325
missed-sessions,10,168.5,8.9146,4.9001,17.1278,0.5,6.454088157558189,15.453373442200258
long-break,10,217.5,8.90045,3.9754,16.2127,0.0,7.448367754830113,18.250822865587427
coarse-equipment,10,242.0,2.2074,-0.1722,4.6884,1.0,41.07566413662239,12.43498535302206
noisy-RIR,10,244.0,14.71845,4.8573,20.7331,1.0,2.875117591721543,10.66927037102787
conservative-effort,10,238.0,-0.2586,-0.9166,-0.1515,1.0,0.14827995255041518,72.60643075264954
pain-episodes,10,245.0,10.577549999999999,6.4476,22.0425,3.5,4.205116224740101,14.832707103238505
custom-three-day,10,147.5,19.5753,8.8678,30.7298,1.0,4.914378356469753,8.024502297090352
